Vardas               Pavarde               ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  EGZ
Vardas6              Pavarde6              10   9    5    8    9    3    2    7    3    8
Vardas1              Pavarde1              8    4    3    10   7    8    10   5    4    6
Vardas9              Pavarde9              9    7    2    10   8    6    8    9    10   1
Vardas4              Pavarde4              4    8    10   10   8    5    6    5    3    7
Vardas10             Pavarde10             6    2    7    7    4    3    10   8    8    7
Vardas8              Pavarde8              7    9    8    8    9    6    7    8    8    1
Vardas7              Pavarde7              5    1    10   7    7    2    8    1    5    4
Vardas3              Pavarde3              10   6    2    10   2    7    8    7    4    2
Vardas5              Pavarde5              2    6    3    3    7    6    5    8    9    6
Vardas2              Pavarde2              10   8    6    10   4    10   8    7    9    2
